Designator	Part	Midx	Midy	Refx	Refy	Padx	Pady	TB	Rotation
C15	C0402R	1.574	1.351	1.574	1.351	1.599	1.351	Bottom	0.0
C16	C0402R	0.282	1.246	0.282	1.246	0.282	1.221	Top	90.0
C17	C0402R	1.950	1.320	1.950	1.320	1.950	1.295	Top	90.0
C18	C0402R	1.374	0.950	1.374	0.950	1.349	0.950	Top	0.0
C19	C0402R	1.680	1.087	1.680	1.087	1.655	1.087	Bottom	180.0
C2	C0402R	0.558	1.121	0.558	1.121	0.583	1.121	Top	180.0
C20	C0402R	1.751	1.365	1.751	1.365	1.726	1.365	Top	0.0
C3	C0402R	0.345	1.241	0.345	1.241	0.320	1.241	Top	0.0
C4	C0603R	1.393	1.168	1.393	1.168	1.393	1.134	Top	90.0
C5	C0402R	0.846	1.186	0.846	1.186	0.821	1.186	Top	0.0
C6	C0402R	1.200	1.177	1.200	1.177	1.200	1.202	Top	-90.0
C7	C0402R	0.312	1.300	0.312	1.300	0.337	1.300	Top	180.0
C8	C0805_N	0.552	0.989	0.552	0.989	0.552	0.951	Top	90.0
C9	C0402R	0.581	1.016	0.581	1.016	0.556	1.016	Bottom	180.0
D2	0603-.8x.85	0.462	1.270	0.462	1.270	0.462	1.270	Bottom	90.0
D3	DFN1006-2	2.392	0.935	2.392	0.935	2.392	0.935	Top	0.0
D4	DFN1006-2	1.886	0.957	1.886	0.957	1.886	0.957	Bottom	0.0
J1	FCI_10118193_S	0.108	1.228	0.043	1.228	0.148	1.280	Top	-90.0
J2	AMPH_10051922-12	1.046	1.168	1.086	1.168	1.029	1.276	Bottom	90.0
P1	JST_BM04B	1.703	1.251	1.703	1.222	1.762	1.291	Top	180.0
P2	MOLEX_533984002_S	0.348	1.135	0.348	1.115	0.323	1.190	Top	180.0
P3	MOLEX_533984003	2.103	1.135	2.103	1.164	2.153	1.090	Top	0.0
P4	JST_BM02B	1.875	1.023	1.875	1.037	1.855	0.973	Top	0.0
P5	MOLEX_533984003	2.228	1.042	2.228	1.013	2.277	1.088	Bottom	180.0
PZ1	CUI_CMT-1102-SMT	2.213	1.087	2.213	1.087	1.957	1.087	Bottom	-90.0
Q2	VISHAY_VEMT2	1.355	1.277	1.355	1.277	1.355	1.277	Top	180.0
Q3	ROHM_HSMT8	1.675	1.030	1.672	1.030	1.605	1.068	Top	-90.0
R1	R0402R	0.244	1.276	0.244	1.276	0.244	1.251	Top	90.0
R10	R0402R	0.736	1.142	0.736	1.142	0.736	1.117	Top	90.0
R11	R0402R	0.697	1.140	0.697	1.140	0.697	1.165	Top	-90.0
R12	R0402R	1.333	1.090	1.333	1.090	1.333	1.115	Top	-90.0
R13	R0402R	1.389	1.056	1.389	1.056	1.389	1.081	Top	-90.0
R14	R0402R	1.243	1.204	1.243	1.204	1.243	1.229	Top	-90.0
R15	R0402R	1.288	1.204	1.288	1.204	1.288	1.229	Top	-90.0
R16	R0402R	1.224	1.008	1.224	1.008	1.199	1.008	Top	0.0
R17	R0402R	0.538	1.191	0.538	1.191	0.563	1.191	Bottom	0.0
R18	R0402R	0.996	0.993	0.996	0.993	0.971	0.993	Top	0.0
R19	R0402R	1.820	1.031	1.820	1.031	1.795	1.031	Bottom	180.0
R2	R0402R	0.205	1.254	0.205	1.254	0.205	1.229	Top	90.0
R20	R0402R	1.336	1.031	1.336	1.031	1.311	1.031	Bottom	180.0
R21	R0402R	1.077	0.989	1.077	0.989	1.052	0.989	Top	0.0
R22	R0402R	0.753	1.311	0.753	1.311	0.728	1.311	Bottom	180.0
R23	R0402R	0.784	1.365	0.784	1.365	0.759	1.365	Top	0.0
R24	R0402R	0.754	1.028	0.754	1.028	0.754	1.003	Bottom	-90.0
R3	R0402R	0.496	0.973	0.496	0.973	0.496	0.948	Top	90.0
R4	R0402R	0.533	0.947	0.533	0.947	0.558	0.947	Bottom	0.0
R5	R0402R	0.819	0.966	0.819	0.966	0.819	0.941	Top	90.0
R6	R0402R	0.777	1.055	0.777	1.055	0.777	1.080	Top	-90.0
R7	R0402_R	0.780	0.966	0.780	0.966	0.780	0.946	Top	90.0
R8	R0402R	0.669	1.016	0.669	1.016	0.644	1.016	Bottom	180.0
R9	R0402R	0.757	1.267	0.757	1.267	0.757	1.292	Top	-90.0
SW1	E_SWITCH_EG1215AA	0.220	1.078	0.223	1.054	0.312	1.127	Bottom	0.0
SW2	CK_PTS830_S	0.169	1.260	0.169	1.260	0.135	1.329	Bottom	90.0
SW3	CK_PTS830_S	0.333	1.260	0.333	1.260	0.300	1.329	Bottom	90.0
SW4	CK_PTS830_S	2.446	1.333	2.446	1.333	2.377	1.299	Bottom	180.0
U1	FTDI_WQFN-16	0.530	1.259	0.530	1.259	0.569	1.349	Top	-90.0
U2	ATMEL_VQFN32	1.032	1.167	1.032	1.167	0.922	1.235	Top	-90.0
U3	ANALOG_DFN10	0.670	0.995	0.670	0.995	0.608	1.034	Top	-90.0
U4	TSSOP-8	1.479	1.091	1.479	1.091	1.440	0.974	Top	0.0
U5	BOSCH_BMP390	2.440	1.317	2.440	1.317	2.450	1.362	Top	0.0
U6	SC-70-6	1.699	1.014	1.699	1.014	1.661	0.988	Bottom	0.0
U7	MEMSIC_12-VFLGA	1.863	1.322	1.863	1.322	1.834	1.287	Top	-90.0
Y1	MURATA_CSTNE	0.844	1.098	0.844	1.098	0.844	1.145	Top	-90.0
C1	C0402R	0.668	1.851	0.668	1.851	0.693	1.851	Top	180.0
C10	C0402R	0.757	1.467	0.757	1.467	0.782	1.467	Bottom	0.0
C11	C0402R	2.541	1.845	2.541	1.845	2.541	1.820	Top	90.0
C12	C0402R	2.322	1.814	2.322	1.814	2.322	1.839	Top	-90.0
C13	C0402R	0.697	1.802	0.697	1.802	0.672	1.802	Top	0.0
C14	C0402R	2.105	1.543	2.105	1.543	2.130	1.543	Top	180.0
C15	C0402R	1.574	1.855	1.574	1.855	1.599	1.855	Bottom	0.0
C16	C0402R	0.282	1.750	0.282	1.750	0.282	1.725	Top	90.0
C17	C0402R	1.950	1.824	1.950	1.824	1.950	1.799	Top	90.0
C18	C0402R	1.374	1.454	1.374	1.454	1.349	1.454	Top	0.0
C19	C0402R	1.680	1.591	1.680	1.591	1.655	1.591	Bottom	180.0
C2	C0402R	0.558	1.625	0.558	1.625	0.583	1.625	Top	180.0
C20	C0402R	1.751	1.869	1.751	1.869	1.726	1.869	Top	0.0
C3	C0402R	0.345	1.745	0.345	1.745	0.320	1.745	Top	0.0
C4	C0603R	1.393	1.672	1.393	1.672	1.393	1.638	Top	90.0
C5	C0402R	0.846	1.690	0.846	1.690	0.821	1.690	Top	0.0
C6	C0402R	1.200	1.681	1.200	1.681	1.200	1.706	Top	-90.0
C7	C0402R	0.312	1.804	0.312	1.804	0.337	1.804	Top	180.0
C8	C0805_N	0.552	1.493	0.552	1.493	0.552	1.455	Top	90.0
C9	C0402R	0.581	1.520	0.581	1.520	0.556	1.520	Bottom	180.0
D2	0603-.8x.85	0.462	1.774	0.462	1.774	0.462	1.774	Bottom	90.0
D3	DFN1006-2	2.392	1.439	2.392	1.439	2.392	1.439	Top	0.0
D4	DFN1006-2	1.886	1.461	1.886	1.461	1.886	1.461	Bottom	0.0
J1	FCI_10118193_S	0.108	1.732	0.043	1.732	0.148	1.784	Top	-90.0
J2	AMPH_10051922-12	1.046	1.672	1.086	1.672	1.029	1.780	Bottom	90.0
P1	JST_BM04B	1.703	1.755	1.703	1.726	1.762	1.795	Top	180.0
P2	MOLEX_533984002_S	0.348	1.639	0.348	1.619	0.323	1.694	Top	180.0
P3	MOLEX_533984003	2.103	1.639	2.103	1.668	2.153	1.594	Top	0.0
P4	JST_BM02B	1.875	1.527	1.875	1.541	1.855	1.477	Top	0.0
P5	MOLEX_533984003	2.228	1.546	2.228	1.517	2.277	1.592	Bottom	180.0
PZ1	CUI_CMT-1102-SMT	2.213	1.591	2.213	1.591	1.957	1.591	Bottom	-90.0
Q2	VISHAY_VEMT2	1.355	1.781	1.355	1.781	1.355	1.781	Top	180.0
Q3	ROHM_HSMT8	1.675	1.534	1.672	1.534	1.605	1.572	Top	-90.0
R1	R0402R	0.244	1.780	0.244	1.780	0.244	1.755	Top	90.0
R10	R0402R	0.736	1.646	0.736	1.646	0.736	1.621	Top	90.0
R11	R0402R	0.697	1.643	0.697	1.643	0.697	1.668	Top	-90.0
R12	R0402R	1.333	1.594	1.333	1.594	1.333	1.619	Top	-90.0
